,Unnamed: 0,Month,DayofMonth,DayOfWeek,SchedDepTime,Carrier,TailNum,DepDelay,Origin,Distance
0,0,1,3,4,20,WN,N712SW,8,IAD,2
1,1,1,3,4,8,WN,N772SW,19,IAD,2
2,2,1,3,4,7,WN,N428WN,8,IND,2
3,3,1,3,4,18,WN,N464WN,34,IND,2
4,4,1,3,4,20,WN,N726SW,25,IND,2
5,5,1,3,4,19,WN,N763SW,67,IND,4
6,6,1,3,4,7,WN,N690SW,6,IND,2
7,7,1,3,4,16,WN,N334SW,94,IND,2
8,8,1,3,4,11,WN,N263WN,9,IND,1
9,9,1,3,4,15,WN,N286WN,27,IND,3
10,10,1,3,4,8,WN,N778SW,9,IND,3
11,11,1,3,4,13,WN,N674AA,28,IND,2
12,12,1,3,4,14,WN,N643SW,51,ISP,1
13,13,1,3,4,17,WN,N724SW,32,ISP,1
14,14,1,3,4,19,WN,N786SW,20,ISP,1
15,15,1,3,4,11,WN,N714CB,9,ISP,1
16,16,1,3,4,15,WN,N394SW,25,ISP,1
17,17,1,3,4,13,WN,N215WN,87,ISP,3
18,18,1,3,4,20,WN,N243WN,29,ISP,3
19,19,1,3,4,20,WN,N798SW,82,ISP,2
20,20,1,3,4,13,WN,N247WN,12,ISP,2
21,21,1,3,4,15,WN,N707SA,19,ISP,2
22,22,1,3,4,16,WN,N443WN,39,ISP,2
23,23,1,3,4,17,WN,N779SW,82,ISP,2
24,24,1,3,4,12,WN,N704SW,22,ISP,2
25,25,1,3,4,14,WN,N709SW,29,ISP,2
26,26,1,3,4,13,WN,N459WN,56,ISP,3
27,27,1,3,4,18,WN,N621SW,24,ISP,3
28,28,1,3,4,8,WN,N206WN,6,ISP,3
29,29,1,3,4,7,WN,N280WN,6,ISP,3
30,30,1,3,4,12,WN,N241WN,13,ISP,3
31,31,1,3,4,16,WN,N200WN,18,ISP,3
32,32,1,3,4,15,WN,N475WN,15,JAN,2
33,33,1,3,4,18,WN,N792SW,315,JAN,1
34,34,1,3,4,20,WN,N252WN,45,JAN,1
35,35,1,3,4,10,WN,N346SW,53,JAN,2
36,36,1,3,4,19,WN,N299WN,10,JAN,2
37,37,1,3,4,10,WN,N487WN,23,JAX,1
38,38,1,3,4,7,WN,N243WN,26,JAX,1
39,39,1,3,4,11,WN,N479WN,30,JAX,1
